Rv0001	dnaA	1	1524	1	1524
Rv0002	dnaN	1525	3260	-527	1209
Rv0003	recF	3261	4433	-19	1154
Rv0004	.	4434	4997	1	564
Rv0005	gyrB	4998	7267	-242	2028
Rv0006	gyrA	7268	9818	-34	2517
Rv0007	Rv0007	9819	10828	-95	915
ileT	ileT	10829	10960	-58	74
alaT	alaT	10961	11184	-151	73
Rv0008c	.	11874	12311	438	1
Rv0009	ppiA	12312	13016	-156	549
Rv0010c	.	13133	13713	426	-155
Rv0011c	.	13714	13995	282	1
Rv0012	Rv0012	13996	14877	-93	789
Rv0013	trpG	14878	15589	-36	676
Rv0014c	pknB	15590	17466	1881	5
Rv0015c	pknA	17467	18762	1296	1
Rv0016c	pbpA	18763	20234	1472	1
Rv0017c	rodA	20235	21636	1406	5
Rv0018c	pstP	21637	23269	1545	-88
Rv0019c	fhaB	23270	23860	468	-123
Rv0020c	fhaA	23861	25444	1584	1
leuT	leuT	25445	25726	-199	83
Rv0021c	.	25913	27022	969	-141
Rv0022c	whiB5	27023	27442	420	1
Rv0023	Rv0023	27443	28365	-152	771
Rv0024	.	28366	29207	5	846
Rv0025	Rv0025	29208	29607	-37	363
Rv0026	Rv0026	29608	31068	-114	1347
Rv0027	Rv0027	31069	31506	-120	318
Rv0028	Rv0028	31507	31819	-7	306
Rv0029	Rv0029	31820	33154	-237	1098
Rv0030	Rv0030	33155	33553	-69	330
Rv0031	Rv0031	33554	33794	-28	213
Rv0032	bioF2	33795	36610	-500	2316
Rv0033	acpA	36611	36866	5	260
Rv0034	.	36867	37262	1	396
Rv0035	fadD34	37263	38947	5	1689
Rv0036c	.	39056	39876	774	-47
Rv0037c	.	39877	41202	1326	1
Rv0038	Rv0038	41203	41912	-101	609
Rv0039c	.	42004	42432	348	-81
Rv0040c	mtc28	42433	43365	933	1
Rv0041	leuS	43366	46471	-196	2910
Rv0042c	.	46581	47365	627	-158
Rv0043c	.	47366	48232	735	-132
Rv0044c	.	48233	49042	795	-15
Rv0045c	.	49043	50020	897	-81
Rv0046c	ino1	50021	51184	1104	-60
Rv0047c	.	51185	51827	543	-100
Rv0048c	.	51828	52697	870	1
Rv0049	Rv0049	52698	53244	-133	414
Rv0050	ponA1	53245	55696	-418	2037
Rv0051	.	55697	57375	5	1683
Rv0052	Rv0052	57376	57970	-31	564
Rv0053	rpsF	57971	58479	-218	291
Rv0054	ssb	58480	59077	-103	495
Rv0055	rpsR1	59078	59373	-41	255
Rv0056	rplI	59374	59864	-32	459
Rv0057	Rv0057	59865	60414	-28	522
Rv0058	dnaB	60415	63017	23	2625
Rv0059	Rv0059	63018	63889	-179	693
Rv0060	Rv0060	63890	64964	-16	1059
Rv0061c	.	65009	65347	339	1
Rv0062	celA1	65348	66691	-201	1143
Rv0063	Rv0063	66692	68359	-228	1440
Rv0064	Rv0064	68360	71556	-257	2940
Rv0064A	vapB1	71557	71817	-29	232
Rv0065	vapC1	71818	72219	1	402
Rv0066c	icd2	72271	74625	2238	-117
Rv0067c	.	74626	75195	570	1
Rv0068	Rv0068	75196	76209	-102	912
Rv0069c	sdaA	76234	77619	1386	1
Rv0070c	glyA2	77620	78893	1274	1
Rv0071	Rv0071	78894	80190	-589	708
Rv0072	Rv0072	80191	81670	-430	1050
Rv0073	Rv0073	81671	82665	-2	993
Rv0074	Rv0074	82666	83980	-79	1236
Rv0075	Rv0075	83981	85165	-12	1173
Rv0076c	.	85180	85632	390	-63
Rv0077c	.	85633	86463	831	1
Rv0078	Rv0078	86464	87130	-61	606
Rv0078A	.	87205	87798	594	1
Rv0078B	.	87799	88001	203	1
Rv0079	Rv0079	88002	89022	-199	822
Rv0080	.	89023	89477	5	459
Rv0081	Rv0081	89478	89916	-94	345
Rv0082	Rv0082	89917	90400	-4	480
Rv0083	.	90401	92319	5	1923
Rv0084	hycD	92320	93275	-5	951
Rv0085	hycP	93276	93947	-10	662
Rv0086	hycQ	93948	95410	1	1463
Rv0087	hycE	95411	96889	1	1479
Rv0088	Rv0088	96890	97598	-34	675
Rv0089	Rv0089	97599	98348	-156	594
Rv0090	Rv0090	98349	99247	-128	771
Rv0091	mtn	99248	100448	-433	768
Rv0092	ctpA	100449	102865	-131	2286
Rv0093c	.	102866	103706	795	-46
Rv0094c	.	103707	104801	954	-141
Rv0095c	.	104802	105212	411	1
Rv0096	PPE1	105213	106712	-108	1392
Rv0097	Rv0097	106713	107596	-18	866
Rv0098	fcoT	107597	108148	1	552
Rv0099	fadD10	108149	109775	-4	1623
Rv0100	Rv0100	109776	109997	-4	218
Rv0101	nrp	109998	117536	1	7539
Rv0102	Rv0102	117537	119696	-174	1986
Rv0103c	ctpB	119912	122170	2259	1
Rv0104	Rv0104	122171	123828	-143	1515
Rv0105c	rpmB1	123977	124261	285	1
Rv0106	Rv0106	124262	125567	-109	1197
Rv0107c	ctpI	125640	130891	4899	-353
Rv0108c	.	130892	131101	210	1
Rv0109	PE_PGRS1	131102	132870	-277	1491
Rv0110	Rv0110	132871	133767	-147	750
Rv0111	Rv0111	133768	136005	-180	2058
Rv0112	gca	136006	137243	-281	957
Rv0113	gmhA	137244	137907	-73	591
Rv0114	gmhB	137908	138510	-31	572
Rv0115	hddA	138511	139671	1	1161
Rv0116c	ldtA	140265	141020	756	1
Rv0117	oxyS	141021	142142	-177	945
Rv0118c	oxcA	142143	143874	1732	1
Rv0119	fadD7	143875	145624	-172	1578
Rv0120c	fusA2	145625	147905	2145	-136
Rv0121c	.	147906	148340	435	1
Rv0122	Rv0122	148341	148857	-148	369
Rv0123	.	148858	149222	5	369
Rv0124	PE_PGRS2	149223	150994	-308	1464
Rv0125	pepA	150995	152213	-151	1068
Rv0126	treS	152214	154127	-108	1806
Rv0127	mak	154128	155597	-102	1368
Rv0128	Rv0128	155598	156444	-67	780
Rv0129c	fbpC	156576	157598	1023	1
Rv0130	htdZ	157599	158300	-246	456
Rv0131c	fadE1	158313	159697	1344	-41
Rv0132c	fgd2	159698	160780	1083	1
Rv0133	Rv0133	160781	161472	-86	606
Rv0134	ephF	161473	162671	-296	903
Rv0135c	.	162672	163247	576	1
Rv0136	cyp138	163248	164689	-116	1326
Rv0137c	msrA	164710	165258	549	1
Rv0138	Rv0138	165259	165824	-62	504
Rv0139	.	165825	166847	1	1023
Rv0140	Rv0140	166848	167288	-60	381
Rv0141c	.	167289	167679	391	1
Rv0142	Rv0142	167680	168635	-29	927
Rv0143c	.	168702	170180	1479	1
Rv0144	Rv0144	170181	171124	-101	843
Rv0145	Rv0145	171125	172166	-88	954
Rv0146	Rv0146	172167	173141	-42	933
Rv0147	Rv0147	173142	174756	-94	1521
Rv0148	Rv0148	174757	175691	-74	861
Rv0149	Rv0149	175692	176666	-6	969
Rv0150c	.	176667	177540	284	-590
Rv0151c	PE1	177541	179316	1767	-9
Rv0152c	PE2	179317	181152	1578	-258
Rv0153c	ptbB	181153	181984	831	-1
Rv0154c	fadE2	181985	183196	1212	1
Rv0155	pntAa	183197	184720	-423	1101
Rv0156	pntAb	184721	185049	1	329
Rv0157	pntB	185050	186477	1	1428
Rv0157A	.	186493	186621	129	1
Rv0158	Rv0158	186622	187427	-161	645
Rv0159c	PE3	187431	188928	1407	-91
Rv0160c	PE4	188929	190437	1509	1
Rv0161	Rv0161	190438	191954	-167	1350
Rv0162c	adhE1	191982	193133	1152	1
Rv0163	.	193134	193570	20	456
Rv0164	TB18.5	193571	194109	-53	486
Rv0165c	mce1R	194142	194813	672	1
Rv0166	fadD5	194814	196655	-177	1665
Rv0167	yrbE1A	196656	197657	-203	-1
Rv0168	yrbE1B	197658	198527	1	870
Rv0169	mce1A	198528	199896	-4	1365
Rv0170	mce1B	199897	200929	5	1037
Rv0171	mce1C	200930	202477	1	1548
Rv0172	mce1D	202478	204066	5	1593
Rv0173	lprK	204067	205228	5	1166
Rv0174	mce1F	205229	206776	1	1548
Rv0175	Rv0175	206777	207453	-35	642
Rv0176	.	207454	208414	5	965
Rv0177	.	208415	208969	1	555
Rv0178	.	208970	209670	35	735
Rv0179c	lprO	209701	210889	1110	-79
Rv0180c	.	210890	212274	1359	-26
Rv0181c	.	212275	213025	735	-16
Rv0182c	sigG	213026	214085	1113	54
Rv0183	.	214086	214925	1	840
Rv0184	Rv0184	214926	215712	-41	746
Rv0185	.	215713	216222	1	510
Rv0186	bglS	216223	218342	-44	2076
Rv0186A	mymT	218388	218549	162	1
Rv0187	Rv0187	218550	219365	-153	663
Rv0188	Rv0188	219366	219915	-118	432
Rv0189c	ilvD	219994	221721	1728	1
Rv0190	Rv0190	221722	222159	-147	291
Rv0191	Rv0191	222160	223528	-127	1242
Rv0192	Rv0192	223529	223907	-33	346
Rv0193c	.	224722	226569	1848	1
Rv0194	Rv0194	226570	230460	-306	3585
Rv0195	Rv0195	230461	231532	-436	636
Rv0196	Rv0196	231533	232229	-112	585
Rv0197	.	232230	234515	2	2285
Rv0198c	zmp1	234516	236507	1992	1
Rv0199	Rv0199	236508	237209	-42	660
Rv0200	.	237210	237895	5	690
Rv0201c	.	237896	238391	500	5
Rv0202c	mmpL11	238392	241292	2901	1
Rv0203	Rv0203	241293	241924	-221	411
Rv0204c	.	241976	243214	1239	1
Rv0205	Rv0205	243215	244483	-169	1100
Rv0206c	mmpL3	244484	247383	2835	-65
Rv0207c	.	247384	248114	729	-2
Rv0208c	.	248115	248906	792	1
Rv0209	Rv0209	248907	250123	-131	1086
Rv0210	.	250124	251598	5	1479
Rv0211	pckA	251599	253602	-183	1821
Rv0212c	nadR	253669	254636	972	5
Rv0213c	.	254637	255950	1314	1
Rv0214	fadD4	255951	257677	-113	1614
Rv0215c	fadE3	257783	258856	1074	1
Rv0216	Rv0216	258857	259922	-56	1010
Rv0217c	lipW	259923	260831	909	1
Rv0218	Rv0218	260832	262253	-92	-1
Rv0219	.	262254	262802	1	549
Rv0220	lipC	262803	264023	-9	1212
Rv0221	Rv0221	264024	265476	-43	1410
Rv0222	echA1	265477	266295	-30	789
Rv0223c	.	266301	267862	1464	-98
Rv0224c	.	267863	268627	765	1
Rv0225	Rv0225	268628	269817	-35	1155
Rv0226c	.	269834	271573	1731	-9
Rv0227c	.	271574	272839	1266	1
Rv0228	Rv0228	272840	274278	-215	1224
Rv0229c	.	274306	274986	681	1
